Date;Orang;Barang
2020-05-12;70896;32225
2020-05-13;73036;32516
2020-05-14;73673;32282
2020-05-15;76315;31031
2020-05-16;61758;22344
2020-05-17;50734;14573
2020-05-18;82531;28641
2020-05-19;82385;29410
2020-05-20;89385;23813
2020-05-21;61064;13275
2020-05-22;61777;9158
2020-05-23;43062;3054
2020-05-24;50988;982
2020-05-25;61394;2264
2020-05-26;63543;8887
2020-05-27;65226;16952
2020-05-28;66495;21254
2020-05-29;67902;22964
2020-05-30;60946;18655
2020-05-31;52410;11117
2020-06-01;56238;14363
2020-06-02;78936;27679
2020-06-03;78561;31649
2020-06-04;78942;33111
2020-06-05;83031;31886
2020-06-06;73523;23182
2020-06-07;66895;15620
2020-06-08;88583;32781
2020-06-09;88657;35374
2020-06-10;90523;35631
2020-06-11;90020;34871
2020-06-12;93598;32780
2020-06-13;85100;23965
2020-06-14;82148;16042
2020-06-15;95232;33916
2020-06-16;93025;34961
2020-06-17;95301;37112
2020-06-18;93785;35872
2020-06-19;96790;34180
2020-06-20;90809;25297
2020-06-21;83899;16073
2020-06-22;99886;34126
2020-06-23;94428;35856
2020-06-24;96743;36565
2020-06-25;96311;36425
2020-06-26;100905;34413
2020-06-27;97320;23867
2020-06-28;96002;17196
2020-06-29;100816;34446
2020-06-30;99821;35162
2020-07-01;101694;35518
2020-07-02;103789;34912
2020-07-03;100824;34248
2020-07-04;104655;25370
2020-07-05;105184;16875
2020-07-06;104977;35031
2020-07-07;101190;38253
2020-07-08;103425;37630
2020-07-09;103370;38105
2020-07-10;105888;37403
2020-07-11;104026;26803
2020-07-12;102772;17512
2020-07-13;102761;36585
2020-07-14;98508;37865
2020-07-15;100837;38050
2020-07-16;100382;38578
2020-07-17;102081;36644
2020-07-18;98826;26992
2020-07-19;93070;18282
2020-07-20;101052;37050
2020-07-21;97489;38864
2020-07-22;100186;40100
2020-07-23;100196;38427
2020-07-24;104395;37397
2020-07-25;100444;27886
2020-07-26;94315;19370
2020-07-27;104782;38741
2020-07-28;107180;39833
2020-07-29;115016;41113
2020-07-30;127758;30199
2020-07-31;84323;8814
2020-08-01;102531;17165
2020-08-02;127526;15464
2020-08-03;113043;36940
2020-08-04;105779;39703
2020-08-05;109313;40551
2020-08-06;109516;40075
2020-08-07;114269;37840
2020-08-08;117519;27453
2020-08-09;113209;20440
2020-08-10;109592;40327
2020-08-11;104839;40475
2020-08-12;108425;41259
2020-08-13;106197;40415
2020-08-14;115668;39379
2020-08-15;117785;30445
2020-08-16;101810;14600
2020-08-17;94456;14195
2020-08-18;106256;40166
2020-08-19;114568;40931
2020-08-20;91981;25452
2020-08-21;96017;37330
2020-08-22;103966;29474
2020-08-23;103331;19475
2020-08-24;105556;41308
2020-08-25;103274;43325
2020-08-26;104976;43810
2020-08-27;104190;42687
2020-08-28;107569;41068
2020-08-29;107290;31194
2020-08-30;105463;20970
2020-08-31;105826;39960
2020-09-01;101167;42299
2020-09-02;103647;42420
2020-09-03;104751;40738
2020-09-04;107575;40020
2020-09-05;110633;28647
2020-09-06;109585;20147
2020-09-07;105236;39883
2020-09-08;101633;40847
2020-09-09;104083;42110
2020-09-10;101006;42225
2020-09-11;105784;41380
2020-09-12;103240;29686
2020-09-13;97613;20087
2020-09-14;93181;39892
2020-09-15;92563;42064
2020-09-16;94209;41730
2020-09-17;94201;42043
2020-09-18;97007;40291
2020-09-19;87583;29883
2020-09-20;77114;19039
2020-09-21;94832;40079
2020-09-22;92250;42487
2020-09-23;95115;42272
2020-09-24;94655;42002
2020-09-25;99384;40244
2020-09-26;91657;29640
2020-09-27;84660;21005
2020-09-28;97873;40505
2020-09-29;96530;42341
2020-09-30;99549;41799
2020-10-01;99186;40848
2020-10-02;102682;39371
2020-10-03;96835;29430
2020-10-04;92875;20333
2020-10-05;103899;41578
2020-10-06;94756;40702
2020-10-07;96497;42017
2020-10-08;93718;40827
2020-10-09;102606;40669
2020-10-10;99903;29515
2020-10-11;92514;20262
2020-10-12;103386;42204
2020-10-13;95281;44246
2020-10-14;97772;42619
2020-10-15;103173;44617
2020-10-16;103637;42125
2020-10-17;101647;31430
2020-10-18;96823;20932
2020-10-19;103959;42898
2020-10-20;98758;43858
2020-10-21;101479;43544
2020-10-22;102837;43531
2020-10-23;107018;42576
2020-10-24;103194;30906
2020-10-25;96600;21614
2020-10-26;104994;42365
2020-10-27;110743;44471
2020-10-28;112594;39696
2020-10-29;98666;25759
2020-10-30;99342;36739
2020-10-31;110040;28103
2020-11-01;113490;18106
2020-11-02;108879;40822
2020-11-03;105450;42767
2020-11-04;107787;43485
2020-11-05;109378;43024
2020-11-06;111152;41650
2020-11-07;111236;31155
2020-11-08;110212;20736
2020-11-09;110945;41841
2020-11-10;105013;44173
2020-11-11;108184;45144
2020-11-12;107145;45068
2020-11-13;110415;42371
2020-11-14;110155;31478
2020-11-15;108796;21171
2020-11-16;107389;41313
2020-11-17;105387;43449
2020-11-18;107221;44167
2020-11-19;106759;43269
2020-11-20;111628;42365
2020-11-21;111447;32057
2020-11-22;104800;21545
2020-11-23;106700;42560
2020-11-24;103802;44825
2020-11-25;106800;45650
2020-11-26;108091;44281
2020-11-27;113500;42316
2020-11-28;115076;32659
2020-11-29;111113;20385
2020-11-30;113347;41300
2020-12-01;108775;44821
2020-12-02;108702;43398
2020-12-03;109499;43030
2020-12-04;112730;41989
2020-12-05;116235;30777
2020-12-06;110552;19797
2020-12-07;112375;40561
2020-12-08;108499;39947
2020-12-09;81745;24079
2020-12-10;111036;42841
2020-12-11;117022;42141
2020-12-12;115860;31865
2020-12-13;108185;22205
2020-12-14;111854;42865
2020-12-15;109577;44237
2020-12-16;112730;44465
2020-12-17;113711;44994
2020-12-18;118174;42468
2020-12-19;116344;32913
2020-12-20;112432;20931
2020-12-21;117468;44013
2020-12-22;115676;45412
2020-12-23;127513;42069
2020-12-24;111922;31271
2020-12-25;88387;18413
2020-12-26;106165;23944
2020-12-27;109381;18923
2020-12-28;111993;38915
2020-12-29;108712;40160
2020-12-30;117213;34570
2020-12-31;99150;17684
2021-01-01;84155;8399
2021-01-02;108518;14898
2021-01-03;116245;17825
2021-01-04;110362;39591
2021-01-05;106740;42555
2021-01-06;109290;42567
2021-01-07;110184;43909
2021-01-08;111139;41063
2021-01-09;109044;29294
2021-01-10;108539;19870
2021-01-11;104582;41153
2021-01-12;100289;42434
2021-01-13;102752;43033
2021-01-14;101310;43965
2021-01-15;104042;41915
2021-01-16;101155;31967
2021-01-17;95427;21613
2021-01-18;102591;41131
2021-01-19;99071;42464
2021-01-20;101400;43717
2021-01-21;100736;42532
2021-01-22;101886;41158
2021-01-23;97392;30200
2021-01-24;87854;18918
2021-01-25;101716;40363
2021-01-26;98415;41605
2021-01-27;102164;41978
2021-01-28;103141;41115
2021-01-29;105448;39539
2021-01-30;103050;28500
2021-01-31;98402;18479
2021-02-01;103607;38048
2021-02-02;99649;39483
2021-02-03;104979;41049
2021-02-04;103120;39492
2021-02-05;108243;38484
2021-02-06;106446;28846
2021-02-07;100037;18157
2021-02-08;107205;38487
2021-02-09;103496;41469
2021-02-10;107309;41312
2021-02-11;115890;38941
2021-02-12;85153;20397
2021-02-13;96020;25419
2021-02-14;101554;19124
2021-02-15;107640;41090
2021-02-16;101216;42672
2021-02-17;104017;44030
2021-02-18;102108;42103
2021-02-19;105494;39728
2021-02-20;102141;32073
2021-02-21;101512;23328
2021-02-22;106853;46696
2021-02-23;102472;46203
2021-02-24;102585;44243
2021-02-25;105959;43429
2021-02-26;109477;41311
2021-02-27;112186;32069
2021-02-28;107808;21321
2021-03-01;108346;39914
2021-03-02;105417;42553
2021-03-03;107026;42956
2021-03-04;107612;43844
2021-03-05;110248;42092
2021-03-06;113494;32675
2021-03-07;110614;21607
2021-03-08;108522;42824
2021-03-09;105235;44970
2021-03-10;113474;42107
2021-03-11;96095;27158
2021-03-12;106783;41318
2021-03-13;109694;31821
2021-03-14;108475;21272
2021-03-15;110957;43953
2021-03-16;105525;44370
2021-03-17;106598;45009
2021-03-18;108060;43637
2021-03-19;111134;42770
2021-03-20;112953;33421
2021-03-21;108037;22888
2021-03-22;108798;43577
2021-03-23;106080;44543
2021-03-24;107263;44928
2021-03-25;108589;45747
2021-03-26;114032;43599
2021-03-27;116186;32395
2021-03-28;112992;22025
2021-03-29;110180;42955
2021-03-30;102883;44162
2021-03-31;112126;44462
2021-04-01;123260;41227
2021-04-02;104268;23869
2021-04-03;122143;27535
2021-04-04;132569;19914
2021-04-05;118793;42413
2021-04-06;113465;44392
2021-04-07;118654;44404
2021-04-08;119807;44103
2021-04-09;124556;42973
2021-04-10;133158;33525
2021-04-11;134707;22047
2021-04-12;122300;40162
2021-04-13;89314;38011
2021-04-14;99358;42276
2021-04-15;101227;43807
2021-04-16;103381;42861
2021-04-17;92954;33729
2021-04-18;84676;23729
2021-04-19;103774;43848
2021-04-20;100021;45973
2021-04-21;102349;45845
2021-04-22;102636;45372
2021-04-23;106271;43140
2021-04-24;99936;33895
2021-04-25;91279;23812
2021-04-26;107938;43688
2021-04-27;105294;44778
2021-04-28;111733;45920
2021-04-29;113616;46688
2021-04-30;123130;42570
2021-05-01;108561;23624
2021-05-02;107806;23089
2021-05-03;121383;44264
2021-05-04;121839;44030
2021-05-05;116036;42641
2021-05-06;88566;38848
2021-05-07;90491;34344
2021-05-08;77493;25447
2021-05-09;67134;15379
2021-05-10;90600;20423
2021-05-11;85984;13819
2021-05-12;53768;4408
2021-05-13;70068;1479
2021-05-14;81466;2114
2021-05-15;99592;4834
2021-05-16;94695;7643
2021-05-17;93183;20955
2021-05-18;107501;29455
2021-05-19;110951;33423
2021-05-20;111715;36751
2021-05-21;114110;36104
2021-05-22;116449;28429
2021-05-23;116269;20100
2021-05-24;115016;39827
2021-05-25;121935;40630
2021-05-26;108242;26633
2021-05-27;115297;42504
2021-05-28;119038;42163
2021-05-29;120614;31755
2021-05-30;120549;21472
2021-05-31;118726;37284
2021-06-01;109404;26534
2021-06-02;117651;42529
2021-06-03;113629;42486
2021-06-04;118480;42145
2021-06-05;124898;33127
2021-06-06;123769;23222
2021-06-07;115235;44347
2021-06-08;111614;45618
2021-06-09;113697;46539
2021-06-10;113652;45972
2021-06-11;116123;45197
2021-06-12;120765;34215
2021-06-13;118595;24296
2021-06-14;114046;44458
2021-06-15;109818;46135
2021-06-16;111367;44558
2021-06-17;111212;44827
2021-06-18;111330;43233
2021-06-19;106379;32894
2021-06-20;100835;21550
2021-06-21;107232;41984
2021-06-22;102503;43792
2021-06-23;102481;43841
2021-06-24;101830;42739
